index,keywords,cast,genres,director,title
1897,flight hasselblad camera los angeles california love medium format camera,Tyrone Giordano Aimee Garcia James Read,Comedy Drama Romance,Nigel Cole,A Lot Like Love
1898,1988 winter olympics coach ski jumper winter winter olympics,Taron Egerton Hugh Jackman Tim McInnerny,Biography Comedy Drama Sport,Dexter Fletcher,Eddie the Eagle
1899,basketball basketball player female nudity porn actor in mainstream movie prison,Milla Jovovich Denzel Washington Rosario Dawson,Drama Sport,Spike Lee,He Got Game
1900,don juan mental institution patient psychiatrist retirement,Marlon Brando Johnny Depp Faye Dunaway,Comedy Drama Romance,Jeremy Leven,Don Juan DeMarco
1901,army coin collector love surfboard u.s. army,Henry Thomas Channing Tatum Scott Porter,Drama Romance War,Lasse Hallström,Dear John
1902,hacking hijacking martial arts revenge special forces,Jason Patric Chris Evans Óscar Jaenada,Action Crime Drama Mystery Thriller,Sylvain White,The Losers
1903,basement creature disappearance interior designer mansion,Alan Dale Bailee Madison Jack Thompson,Fantasy Horror Thriller,Troy Nixey,Don't Be Afraid of the Dark
1904,assassin betrayal fbi fbi agent yakuza,Jet Li Jason Statham Nadine Velazquez,Action Crime Thriller,Philip G. Atwell,War
1905,harmonium love phone sex pudding sister,Emily Watson Adam Sandler Don McManus,Comedy Drama Romance Thriller,Paul Thomas Anderson,Punch-Drunk Love
1906,female frontal nudity male frontal nudity nudist nudity public nudity,Scott Mechlowicz Matt Damon Jacob Pitts,Comedy,Jeff Schaffer,EuroTrip
1907,alcatraz fbi gold prison undercover,Nia Peeples Claudia Christian Tony Plana,Action Crime Thriller,Don Michael Paul,Half Past Dead
1908,airport black comedy blizzard christmas pennsylvania,Rob Riggle Tyler James Williams B.J. Novak,Adventure Comedy Family Romance,Paul Feig,Unaccompanied Minors
1909,estranged wife fashion show magazine new york city writer,Phoebe Cates Dianne Wiest Swoosie Kurtz,Drama,James Bridges,"Bright Lights, Big City"
1910,based on novel human becoming an animal slow motion transformation young boy,Udo Kier Martin Landau Bebe Neuwirth,Adventure Family Fantasy Musical,Steve Barron,The Adventures of Pinocchio
1911,champion golf tournament golfer nostalgia orchestral music score,Matthew Knight Stephen Dillane Amanda Tilson,Drama History Sport,Bill Paxton,The Greatest Game Ever Played
1912,alien library moral dilemma nosebleed supernatural power,Gillian Jacobs Frank Langella Celia Weston,Drama Fantasy Mystery Thriller,Richard Kelly,The Box
1913,bow and arrow group of friends horse rifle ruins,Jonathan Tucker Laura Ramsey Sergio Calderón,Horror,Carter Smith,The Ruins
1914,best friend cartoon on tv custody battle gay gay friend,Rupert Everett Mark Valley Illeana Douglas,Comedy Drama Romance,John Schlesinger,The Next Best Thing
1915,evil killer murder psychopath serial killer,Emily Meade Frank Grillo Zena Grey,Horror Mystery Thriller,Wes Craven,My Soul to Take
1916,forced to strip male rear nudity porn actress scantily clad female teenager,Timothy Bottoms Chris Marquette Jacob Young,Comedy Drama Romance,Luke Greenfield,The Girl Next Door
1917,fbi fbi agent mafia russian mafia twin,Zach Grenier Natasha Henstridge Paul Ben-Victor,Action Crime Mystery Romance Thriller,Ringo Lam,Maximum Risk
1918,black humor crying during sex harvard humor man with glasses,Megan Mullally Martin Starr Chris Penn,Comedy Crime,Bruce McCulloch,Stealing Harvard
1919,1960s based on a true story gangster identical twins murder,Paul Anderson Tom Hardy Tara Fitzgerald,Biography Crime Drama History Thriller,Brian Helgeland,Legend
1920,humiliation man child moped neighbor slacker,Jorma Taccone Sissy Spacek Chris Parnell,Comedy,Akiva Schaffer,Hot Rod
1921,lake louisiana redneck shark vacation,Joel David Moore Chris Zylka Katharine McPhee,Horror Thriller,David R. Ellis,Shark Night 3D
1922,drink ira irish limerick prejudice,Devon Murray Emily Watson Pauline McLynn,Drama,Alan Parker,Angela's Ashes
1923,cleveland browns head coach linebacker nfl team owner,Chi McBride Jennifer Garner Patrick St. Esprit,Drama Sport,Ivan Reitman,Draft Day
1924,alien halleys comet life force space vampire vampire,Steve Railsback Frank Finlay Peter Firth,Action Horror Sci-Fi Thriller,Tobe Hooper,Lifeforce
1925,john wilkes booth lawyer lincoln assassination trial truth,Tom Wilkinson Robin Wright Stephen Root,Crime Drama History,Robert Redford,The Conspirator
1926,1970s skateboarder skateboarding surf swimming pool,Michael Angarano Heath Ledger Rebecca De Mornay,Biography Drama Sport,Catherine Hardwicke,Lords of Dogtown
1927,disaster movie mine minister president trapped in a mine,James Brolin Marco Treviño Jacob Vargas,Biography Drama History,Patricia Riggen,The 33
1928,1980s airport cb radio truck truck driver,Kate Burton Victor Wong Peter Kwong,Action Adventure Comedy Fantasy,John Carpenter,Big Trouble in Little China
1929,curse divorce marriage tourism travel,Malonn Lévana Dany Boon Alice Pol,Comedy Romance,Pascal Chaumeil,A Perfect Plan
1930,alcoholic mixed martial arts return home tournament underdog,Frank Grillo Tom Hardy Kevin Dunn,Drama Sport,Gavin O'Connor,Warrior
1931,ireland irish irish civil war irish free state sinn fein,Liam Neeson Alan Rickman Julia Roberts,Biography Drama Thriller War,Neil Jordan,Michael Collins
1932,american civil war battle blood splatter civil war irish american,William Morgan Sheppard Tom Berenger James Patrick Stuart,Drama History War,Ron Maxwell,Gettysburg
1933,friendship honor iraq war soldier texas,Channing Tatum Joseph Gordon-Levitt Abbie Cornish,Drama War,Kimberly Peirce,Stop-Loss
1934,college detective disappearance police detective thesis,Zooey Deschanel Charlie Hunnam Tony Goldwyn,Drama Music Mystery Romance Thriller,Stephen Gaghan,Abandon
1935,bangkok friend lawyer smuggling thailand,Tom Amandes John Doe Daniel Lapaine,Drama Mystery Thriller,Jonathan Kaplan,Brokedown Palace
1936,basketball coach box jewish rabbi yard sale,Madison Davenport Kyra Sedgwick Natasha Calis,Horror Thriller,Ole Bornedal,The Possession
1937,love train train wreck twin brother two word title,Jane Krakowski Brendan Fraser Cathryn de Prume,Comedy Drama Romance,Richard Benjamin,Mrs. Winterbourne
1938,gang rape panties pulled down rape rape victim sexual humiliation,Laz Alonso Alexander Skarsgård Rhys Coiro,Action Drama Thriller,Rod Lurie,Straw Dogs
1939,book fabrication fake hoax manuscript,Christopher Evan Welch Hope Davis James Biberi,Comedy Drama,Lasse Hallström,The Hoax
1940,biker biker gang fbi mississippi undercover,Sam McMurray Brian Bosworth Richard Gant,Action Crime Drama Thriller,Craig R. Baxley,Stone Cold
1941,apocalypse boy food pistol survival,Charlize Theron Viggo Mortensen Robert Duvall,Adventure Drama,John Hillcoat,The Road
1942,chimpanzee elephant jungle mercenary shaman,Donovan Scott Tanya Roberts Ted Wass,Adventure Fantasy,John Guillermin,Sheena
1943,police private school shootout undercover wigger,Nick Cannon Cheech Marin Kaylee DeFer,Action Comedy Crime Drama Thriller,Marcos Siega,Underclassman
1944,bestiality brother sister incest fisting hit on the head with a pipe wedding,Chris Klein Eddie Cibrian Jack Plotnick,Comedy Romance,J.B. Rogers,Say It Isn't So
1945,mortgage motorcycle speed trailer utah,Antony Starr Anthony Hopkins Craig Hall,Biography Drama Sport,Roger Donaldson,The World's Fastest Indian
1946,baby rattle famous line murder passenger snake,Kenan Thompson Lin Shaye Rachel Blanchard,Action Adventure Crime Drama Thriller,David R. Ellis,Snakes on a Plane
1947,2030s 21st century desert jet tank,Lori Petty Naomi Watts Jeff Kober,Action Comedy Sci-Fi,Rachel Talalay,Tank Girl
1948,hit in the crotch kidnapping nail gun police release from prison,Loretta Devine Donald Faison Regina Hall,Comedy Crime,Jeffrey W. Byrd,King's Ransom
1949,blindness epidemic hospital pubic hair quarantine,Joe Pingue Don McKellar Yûsuke Iseya,Drama Mystery Sci-Fi Thriller,Fernando Meirelles,Blindness
1950,escape half human king vampire vampire hunter,Udo Kier Meat Loaf Michael Paré,Action Adventure Fantasy Horror,Uwe Boll,BloodRayne
1951,based on play meeting salesman single set production whiskey,Christoph Waltz Kate Winslet Julie Adams,Comedy Drama,Roman Polanski,Carnage
1952,breasts death female rear nudity lesbian cunnilingus rear entry sex,Alison Lohman Colin Firth Rachel Blanchard,Crime Drama Mystery Thriller,Atom Egoyan,Where the Truth Lies
1953,aerialist circus cirque du soleil clown surrealism,Erica Linz Dallas Barnett Igor Zaripov,Fantasy,Andrew Adamson,Cirque du Soleil: Worlds Away
1954,car crash coach death oregon university of oregon,Monica Potter Billy Burke Billy Crudup,Biography Drama Sport,Robert Towne,Without Limits
1955,high school mercury theatre opening night school theatre,Aidan McArdle Zoe Kazan James Tupper,Drama,Richard Linklater,Me and Orson Welles
1956,antique art heiress older man younger woman relationship plot twist,Sean Buchanan Jim Sturgess Liya Kebede,Crime Drama Mystery Romance,Giuseppe Tornatore,The Best Offer
1957,drugs flood hallucination lieutenant murder investigation,Shea Whigham Nicolas Cage Shawn Hatosy,Crime Drama,Werner Herzog,Bad Lieutenant: Port of Call New Orleans
1958,apostrophe in title character name in title punctuation in title sea turtle,Jenny McCarthy Ed Begley Jr. Stacy Keach,Adventure Animation Family,Ben Stassen,A Turtle's Tale: Sammy's Adventures
1959,friend restaurant secret unrequited love vacation,Benoît Magimel François Cluzet Gilles Lellouche,Comedy Drama,Guillaume Canet,Little White Lies
1960,argentine brothel cancer female full frontal nudity fight,Bai Ling Scout Taylor-Compton Gil Birmingham,Comedy Drama Romance Sport,Taylor Hackford,Love Ranch
1961,cartoon cat cat character name in title puss in boots surrealism,André Wilms Yolande Moreau Jérôme Deschamps,Adventure Animation Comedy,Jérôme Deschamps,The True Story of Puss'N Boots
1962,dog flea meteor space space dog,Evgeniy Mironov Sergey Garmash Aleksandr Bashirov,Adventure Animation Comedy Family,Inna Evlannikova,Space Dogs
1963,cunnilingus drug trafficking lawyer no panties shootout,Brad Pitt Michael Fassbender Goran Visnjic,Crime Drama Thriller,Ridley Scott,The Counselor
1964,castle england king knight templar,Mackenzie Crook Jason Flemyng Derek Jacobi,Action Adventure History Romance,Jonathan English,Ironclad
1965,battle costume drama final battle napoleon napoleon bonaparte,Dan O'Herlihy Rod Steiger Jack Hawkins,Action Drama History War,Sergey Bondarchuk,Waterloo
1966,fight kung fu martial arts police wire fu,Charlie Yeung Siu-Wong Fan Wai-Keung Lau,Action Drama,Teddy Chan,Kung Fu Killer
1967,exploding airplane fighter pilot hands tied held at gunpoint military,Mario Van Peebles Martin Kove Jacob Vargas,Action Thriller,Mario Van Peebles,Red Sky
1968,catholic corruption emotional abuse france seduction,Peter Capaldi Keanu Reeves Swoosie Kurtz,Drama Romance,Stephen Frears,Dangerous Liaisons
1969,benzedrine cactus drugs poem year 1949,Viggo Mortensen Kristen Stewart Kirsten Dunst,Adventure Drama,Walter Salles,On the Road
1970,alien probe humpback whales probe time travel whale,Nichelle Nichols Leonard Nimoy Walter Koenig,Adventure Comedy Sci-Fi,Leonard Nimoy,Star Trek IV: The Voyage Home
1971,boxing fight heavyweight champion restaurant retired boxer,Burt Young Sylvester Stallone Mike Tyson,Drama Sport,Sylvester Stallone,Rocky Balboa
1972,athlete extreme sports fbi fbi agent heist,Edgar Ramírez Ray Winstone Delroy Lindo,Action Crime Sport Thriller,Ericson Core,Point Break
1973,college ghostface killer killing spree murder,Jada Pinkett Smith Omar Epps Kevin Williamson,Horror Mystery,Wes Craven,Scream 2
1974,brothel death of husband ex lover haunted by the past redemption,Noah Emmerich Natalie Portman Boyd Holbrook,Action Drama Western,Gavin O'Connor,Jane Got a Gun
1975,african american imperative in title las vegas nevada nevada wedding,Regina Hall Romany Malco David Walton,Comedy Romance,Tim Story,Think Like a Man Too
1976,adultery black humor dentist hitman sex in bed,Matthew Perry Bruce Willis Natasha Henstridge,Comedy Crime,Jonathan Lynn,The Whole Nine Yards
1977,church cowboy boots dancing high school dance teenager,Chris Penn Dianne Wiest Lori Singer,Drama Music Romance,Herbert Ross,Footloose
1978,college fraternity friend house party,Leah Remini Will Ferrell Patrick Fischler,Comedy,Todd Phillips,Old School
1979,friendship holy grail massacre redemption video store,David Hyde Pierce Jeff Bridges Harry Shearer,Comedy Drama Fantasy,Terry Gilliam,The Fisher King
1980,bahamas fisherman hook island roommate,Mekhi Phifer Muse Watson Bill Cobbs,Horror Mystery,Danny Cannon,I Still Know What You Did Last Summer
1981,heart italian restaurant restaurant transplant waitress,Jim Belushi Minnie Driver Bonnie Hunt,Comedy Drama Romance,Bonnie Hunt,Return to Me
1982,actor friend male frontal nudity male full frontal nudity penis,Jeff Anderson Gerry Bednob Jennifer Schwalbach Smith,Comedy Romance,Kevin Smith,Zack and Miri Make a Porno
1983,hospital kansas city obsession salesman soap opera,Pruitt Taylor Vince Morgan Freeman Kathleen Wilhoite,Comedy Crime Drama,Neil LaBute,Nurse Betty
1984,first person narration general hampster reference to loch ness monster reporter,Jeff Bridges Kevin Spacey Stephen Root,Comedy War,Grant Heslov,The Men Who Stare at Goats
1985,cia cia agent fbi mexico train,Eddie Griffin Daniel Roebuck Garcelle Beauvais,Action Comedy Crime Thriller,George Gallo,Double Take
1986,1960s father daughter incest mental hospital suicide suicide attempt,Clea DuVall Angelina Jolie Pitt Vanessa Redgrave,Biography Drama,James Mangold,"Girl, Interrupted"
1987,best friend contest date small town west virginia,Gary Cole Topher Grace Nathan Lane,Comedy Romance,Robert Luketic,Win a Date with Tad Hamilton!
1988,alien breakfast escape rat ufo,F. Murray Abraham Josh Charles David Arquette,Adventure Comedy Family Fantasy Music Sci-Fi,Tim Hill,Muppets from Space
1989,melancholy new york city sadness teacher wizard,Diana Ross Lena Horne Theresa Merritt,Adventure Family Fantasy Music Musical,Sidney Lumet,The Wiz
1990,gay subtext homoerotic fight homoeroticism homosexual subtext wcw wrestling,Ellen Albertini Dow Oliver Platt Martin Landau,Comedy Sport,Brian Robbins,Ready to Rumble
1991,boxing movie friendship highway travel male rear nudity road movie,Robert Wagner Willie Garson Lolita Davidovich,Comedy Drama Sport,Ron Shelton,Play It to the Bone
1992,black comedy delivery boy dinner gym punishment,Busy Philipps Olivia Munn Jessica Szohr,Comedy Romance,Douglas McGrath,I Don't Know How She Does It
1993,bloody water boat party piranha spring break,Kelly Brook Adam Scott Jessica Szohr,Comedy Horror,Alexandre Aja,Piranha 3D
1994,bobby darin career love marriage sandra dee,Bob Hoskins Kevin Spacey Brenda Blethyn,Biography Drama Music Musical,Kevin Spacey,Beyond the Sea
1995,accidental kiss eating a worm park worm yellowstone national park,M.C. Gainey Paul Walker A.J. Langer,Comedy Family,Steve Boyum,Meet the Deedles
1996,cobbler desert gold princess thief,Kenneth Williams Donald Pleasence Clive Revill,Action Adventure Animation Comedy Fantasy,Richard Williams,The Princess and the Cobbler
1997,bridge friar inquisition peru rope bridge,F. Murray Abraham Robert De Niro Geraldine Chaplin,Drama Romance,Mary McGuckian,The Bridge of San Luis Rey
1998,gun prison reference to god reference to jesus christ vengeance,Tom Berenger Dwayne Johnson Mike Epps,Action Crime Drama Thriller,George Tillman Jr.,Faster
1999,anime castle demon steampunk witch,Blythe Danner Christian Bale Jean Simmons,Adventure Animation Family Fantasy,Hayao Miyazaki,Howl's Moving Castle
2000,amusement park on the road zombie zombie apocalypse zombie spoof,Bill Murray Emma Stone Derek Graf,Adventure Comedy Horror Sci-Fi,Ruben Fleischer,Zombieland
2001,animal name in title ape abducts a woman gorilla island king kong,Thomas Kretschmann Naomi Watts Evan Parke,Action Adventure Drama Romance,Peter Jackson,King Kong
2002,coach college college football domineering mother football,Clint Howard Adam Sandler Peter Dante,Comedy Sport,Frank Coraci,The Waterboy
2003,duel famous twist rebel rescue snowy landscape,Kenny Baker Harrison Ford Anthony Daniels,Action Adventure Fantasy Sci-Fi,Irvin Kershner,Star Wars: Episode V - The Empire Strikes Back
2004,drugs heroin murder police witness,Tchéky Karyo Will Smith Theresa Randle,Action Comedy Crime Drama Thriller,Michael Bay,Bad Boys
2005,american president evil industrialist ex girlfriend political leader president,Priscilla Presley George Kennedy O.J. Simpson,Comedy Crime,David Zucker,The Naked Gun 2½: The Smell of Fear
2006,dead teenager death explosion premonition teenager,Brendan Fehr Daniel Roebuck Kerr Smith,Horror Thriller,James Wong,Final Destination
2007,governor intern manager ohio politics,Philip Seymour Hoffman Ryan Gosling Jennifer Ehle,Drama,George Clooney,The Ides of March
2008,captain darkness eclipse space survival,Radha Mitchell Vin Diesel Cole Hauser,Horror Sci-Fi,David Twohy,Pitch Black
2009,apartment girl in panties roommate thong panties upskirt,Ellen Barkin Hugh Jackman Catherine Dent,Comedy Romance,Tony Goldwyn,Someone Like You...
2010,divorce female frontal nudity future loneliness operating system,Brian Johnson Scarlett Johansson Matt Letscher,Drama Romance Sci-Fi,Spike Jonze,Her
2011,1988 winter olympics coach ski jumper winter winter olympics,Taron Egerton Hugh Jackman Tim McInnerny,Biography Comedy Drama Sport,Dexter Fletcher,Eddie the Eagle
2012,embarrassing male nudity embarrassing nudity male nudity truck truck driver,Jessica Bowman Paul Walker Dell Yount,Mystery Thriller,John Dahl,Joy Ride
2013,based on novel drowning hanging from a flagpole hanging from a rope magic,Keeley Hawes Ioan Gruffudd Oliver Stark,Adventure Family Fantasy,Jonathan Newman,The Adventurer: The Curse of the Midas Box
2014,family relationships female protagonist nubile woman policeman teenager,Eva Amurri Martino Natalie Portman Shawn Hatosy,Comedy Drama,Wayne Wang,Anywhere But Here
2015,first daughter photographer prague president secret service agent,Stark Sands Annabella Sciorra Terence Maynard,Comedy Romance,Andy Cadiff,Chasing Liberty
2016,beach drug lord drugs hotel stripper,Dan Hedaya Seymour Cassel Lainie Kazan,Comedy Crime,Michael Dinner,The Crew
2017,die hard scenario one woman army rescue soldier super soldier,Michael Fassbender Channing Tatum Michael Angarano,Action Thriller,Steven Soderbergh,Haywire
2018,banana boat boat christmas sea shark,Mario Van Peebles Judith Barsi Lynn Whitfield,Adventure Horror Thriller,Joseph Sargent,Jaws: The Revenge
2019,house leukemia mental institution nursing home transplant,Robert De Niro Leonardo DiCaprio Meryl Streep,Drama,Jerry Zaks,Marvin's Room
2020,absent father american football based on true story middle school,Dash Mihok Tasha Smith Garrett Morris,Biography Comedy Drama Family Sport,Fred Durst,The Longshots
2021,breasts jealousy obsession sex scene spiritual,Ian Hart Stephen Rea James Bolam,Drama Romance,Neil Jordan,The End of the Affair
2022,bar biker cowboy drugs marlboro,Tia Carrere Vanessa Williams Don Johnson,Action Crime Drama Thriller Western,Simon Wincer,Harley Davidson and the Marlboro Man
2023,detective iraq military murder investigation police,Charlize Theron James Franco Barry Corbin,Crime Drama Mystery Thriller,Paul Haggis,In the Valley of Elah
2024,baron fashion hat nickname orphanage,Benoît Poelvoorde Alessandro Nivola Marie Gillain,Biography Drama,Anne Fontaine,Coco Before Chanel
2025,age difference courtesan mansion marriage prostitute,Iben Hjejle Tom Burke Gaye Brown,Comedy Drama Romance,Stephen Frears,Chéri
2026,aristocrat english painter painting singer,Roger Lloyd Pack Romola Garai Lillete Dubey,Drama,Mira Nair,Vanity Fair
2027,giant hong kong hook and chain knife fight martial artist,Simon Yam Bingbing Fan Nicholas Tse,Action Drama History,Teddy Chan,Bodyguards and Assassins
2028,book debunking evil hotel paranormal phenomena,Kim Thomson Drew Powell Alexandra Silber,Fantasy Horror,Mikael Håfström,1408
2029,parody planet enclosed within shield sci fi spoof self referential winnebago,Dick Van Patten Joan Rivers Michael Winslow,Adventure Comedy Sci-Fi,Mel Brooks,Spaceballs
2030,australian battle battle of gallipoli gallipoli world war one,Ryan Corr Cem Yilmaz Steve Bastoni,Drama War,Russell Crowe,The Water Diviner
2031,death film blanc invisibility love unrequited love,Tony Goldwyn Demi Moore Phil Leeds,Drama Fantasy Romance Thriller,Jerry Zucker,Ghost
2032,accident curtain call dream girl high school prom,Lin Shaye Sarah Silverman Richard Tyson,Comedy Romance,Bobby Farrelly,There's Something About Mary
2033,1990s christmas christmas eve sleigh surrealism,Eric Lloyd Judge Reinhold Peter Boyle,Comedy Drama Family Fantasy,John Pasquin,The Santa Clause
2034,baseball coach high school pitching texas,Jay Hernandez Dennis Quaid Angus T. Jones,Drama Family Sport,John Lee Hancock,The Rookie
2035,family relationships football movie publicist sports team tween girl,Kyra Sedgwick Dwayne Johnson Madison Pettis,Comedy Family Sport,Andy Fickman,The Game Plan
2036,1960s bridge housewife love photographer,Meryl Streep Clint Eastwood Debra Monk,Drama Romance,Clint Eastwood,The Bridges of Madison County
2037,camera focus on a female butt cartoon on tv forest hairy buttocks seal the animal,Michael Papajohn Louis Lombardi Colleen Haskell,Comedy Sci-Fi,Luke Greenfield,The Animal
2038,british india indian muslim pakistan,Amrish Puri Candice Bergen John Gielgud,Biography Drama History,Richard Attenborough,Gandhi
2039,chef haute cuisine indian cuisine michelin guide restaurant,Charlotte Le Bon Manish Dayal Juhi Chawla,Comedy Drama,Lasse Hallström,The Hundred-Foot Journey
2040,chat room computer computer hacker identity identity theft,Jeremy Northam Ken Howard Ray McKinnon,Action Crime Drama Mystery Thriller,Irwin Winkler,The Net
2041,child custody custody battle disability mentally impaired man single father,Loretta Devine Dianne Wiest Richard Schiff,Drama,Jessie Nelson,I Am Sam
2042,bare chested male bondage crucifixion loincloth reference to god resurrection,Amber Rose Revah Roma Downey Darwin Shaw,Biography Drama History,Christopher Spencer,Son of God
2043,blood death hybrid vampire werewolf,Kevin Grevioux Sophia Myles Shane Brolly,Action Fantasy Thriller,Len Wiseman,Underworld
2044,drink hotel police staged rape thief,RZA Denis O'Hare Xzibit,Drama Thriller,Mikael Håfström,Derailed
2045,compulsive liar fbi informant investigation spy,Joel McHale Matt Damon Thomas F. Wilson,Comedy Crime Drama Thriller,Steven Soderbergh,The Informant!
2046,author book england friend oxford,James Frain Anthony Hopkins Julian Fellowes,Biography Drama Romance,Richard Attenborough,Shadowlands
2047,dolphin gigolo pimp serial killer villain arrested,Eddie Griffin Carlos Ponce Charles Keating,Comedy,Mike Bigelow,Deuce Bigalow: European Gigolo
2048,children identity lawsuit lawyer sperm donor,Bobby Moynihan Jack Reynor Matthew Daddario,Comedy Drama,Ken Scott,Delivery Man
2049,assistant experiment frankenstein medical student scientist,Spencer Wilding Daniel Radcliffe Daniel Mays,Drama Horror Sci-Fi Thriller,Paul McGuigan,Victor Frankenstein
2050,based on novel male frontal nudity male nudity male rear nudity,Pawel Szajda Radivoje Bukvic Grigoriy Dobrygin,Thriller,Susanna White,Our Kind of Traitor
2051,female nudity friend kidnapping love nun,Neil Diamond Amanda Detmer Kyle Gass,Comedy Crime Romance,Dennis Dugan,Saving Silverman
2052,best friend camping country club no opening credits summer vacation,Rachael Harris Zachary Gordon Karan Brar,Comedy Family,David Bowers,Diary of a Wimpy Kid: Dog Days
2053,distrust fear murder neighborhood new york city,Jennifer Esposito Mira Sorvino Mike Starr,Crime Drama Romance Thriller,Spike Lee,Summer of Sam
2054,internet jay and silent bob new jersey orangutan police,Shannon Elizabeth Will Ferrell Jason Mewes,Comedy,Kevin Smith,Jay and Silent Bob Strike Back
2055,clone environment escape island lottery,Steve Buscemi Scarlett Johansson Djimon Hounsou,Action Adventure Romance Sci-Fi Thriller,Michael Bay,The Island
2056,car car accident death friend glass,Bruce Dern Chris Noth Trevor Morgan,Crime Drama Mystery Thriller,Daniel Sackheim,The Glass House
2057,50s film within a film hollywood illegitimate pregnancy twins,Channing Tatum Scarlett Johansson Alden Ehrenreich,Comedy Mystery,Ethan Coen,"Hail, Caesar!"
2058,based on tv series fictional band girl band music industry pop band,Paulo Costanzo Rosario Dawson Aries Spears,Comedy Music,Harry Elfont,Josie and the Pussycats
2059,biker biker gang dea dea agent fight,James Franco Jason Statham Frank Grillo,Action Crime Drama Thriller,Gary Fleder,Homefront
2060,boy pushed off a cliff rat secret passage vampire,Jim Carter Richard E. Grant Alice Krige,Adventure Comedy Family Fantasy,Uli Edel,The Little Vampire
2061,coincidence cult film overalls suburb vomiting,Lily Tomlin Naomi Watts Isabelle Huppert,Comedy,David O. Russell,I Heart Huckabees
2062,android corporation ninja police robocop,Rip Torn CCH Pounder Mako,Action Crime Sci-Fi Thriller,Fred Dekker,RoboCop 3
2063,armageddon battle end times reference to satan sequel,Udo Kier Michael Biehn Franco Nero,Action Adventure Fantasy Sci-Fi Thriller,Brian Trenchard-Smith,Megiddo: The Omega Code 2
2064,crepe suzette french mata hari spoof song spy,Vernon Dobtcheff Rock Hudson Jeremy Kemp,Comedy Drama Musical Romance War,Blake Edwards,Darling Lili
2065,gold gold rush mirror police officer singer,Alex Rocco Brendan Fraser Eric Idle,Comedy Family Romance,Hugh Wilson,Dudley Do-Right
2066,airfield car car stunt driver private jet,Noémie Lenoir Ed Skrein Radivoje Bukvic,Action Crime Thriller,Camille Delamarre,The Transporter Refueled
2067,ambassador charles ii earl mistress poet,Jack Davenport Johnny Depp Richard Coyle,Drama Romance,Laurence Dunmore,The Libertine
2068,boat escape hiding nazi resistance,Sebastian Koch Michiel Huisman Christian Berkel,Drama Thriller War,Paul Verhoeven,Black Book
2069,christmas no man's land soldier trench world war one,Dany Boon Gary Lewis Ian Richardson,Drama History Music Romance War,Christian Carion,Joyeux Noel
2070,gay cop getaway driver masturbation penis witness protection,Tom Arnold Bradley Cooper Beau Bridges,Action Comedy Romance,David Palmer,Hit and Run
2071,bank federal reserve bank money security guard shredder,Ted Danson Stephen Root Roger Cross,Comedy Crime Thriller,Callie Khouri,Mad Money
2072,amnesia female nudity infidelity nudity therapist,Ben Crompton Colin Firth Anne-Marie Duff,Drama Mystery Thriller,Rowan Joffe,Before I Go to Sleep
2073,fire jungle money oil drilling truck,Joe Spinell Roy Scheider Amidou,Adventure Drama Thriller,William Friedkin,Sorcerer
2074,arsonist blood splatter on face deception parole parole officer,Milla Jovovich Robert De Niro Frances Conroy,Drama Thriller,John Curran,Stone
2075,deathbed play playwright prison theater,Ludivine Sagnier Romain Duris Fabrice Luchini,Comedy History,Laurent Tirard,Molière
2076,ambiguous ending brother brother relationship drug dealer fight club revenge,Sam Shepard Christian Bale Dendrie Taylor,Crime Drama Thriller,Scott Cooper,Out of the Furnace
2077,attorney debt fixer law law firm,Denis O'Hare Tom Wilkinson Sydney Pollack,Crime Drama Mystery Thriller,Tony Gilroy,Michael Clayton
2078,gay pride highway travel president road movie u.s. president,Bradley Whitford Wilford Brimley Sela Ward,Adventure Comedy,Peter Segal,My Fellow Americans
2079,death fbi fbi agent neighbor professor,Spencer Treat Clark Jeff Bridges Hope Davis,Crime Drama Thriller,Mark Pellington,Arlington Road
2080,funfair luna park table football toy comes to life wig,Diego Ramos Pablo Rago Gabriel Almirón,Adventure Animation Family Sport,Juan José Campanella,Underdogs
2081,architect celebrity prostitute shower tourist,Judy Davis Ornella Muti Alessandra Mastronardi,Comedy Romance,Woody Allen,To Rome with Love
2082,fighter plane jet fighter refueling russia soviet union,Warren Clarke Clint Eastwood Kenneth Colley,Action Adventure Thriller,Clint Eastwood,Firefox
2083,boy canada hell misunderstanding refrence to liza minnelli,Eric Idle Minnie Driver Trey Parker,Animation Comedy Fantasy Musical,Trey Parker,South Park: Bigger Longer & Uncut
2084,end credits roll call four word title funeral secret uncle,Ewen Bremner Peter Dinklage Kris Marshall,Comedy,Frank Oz,Death at a Funeral
2085,battle japan magic samurai turtle,John Aylward Paige Turco Matt Hill,Action Adventure Comedy Family Fantasy Sci-Fi,Stuart Gillard,Teenage Mutant Ninja Turtles III
2086,coach gambling housing project little league little league baseball,D.B. Sweeney Keanu Reeves DeWayne Warren,Drama Sport,Brian Robbins,Hardball
2087,adulterous wife bipolar disorder obsessive compulsive personality disorder unhappy marriage widow,Robert De Niro Jennifer Lawrence Bradley Cooper,Comedy Drama Romance,David O. Russell,Silver Linings Playbook
2088,gang violence high school journal marriage teacher,Scott Glenn Hunter Parrish Imelda Staunton,Biography Crime Drama,Richard LaGravenese,Freedom Writers
2089,african american protagonist female protagonist multi protagonist poem three word title,Loretta Devine Omari Hardwick Kimberly Elise,Drama,Tyler Perry,For Colored Girls
